' Title Id;Description;Product code;Company Code;Notes;Versions;Region;Available on cdn;ico file Id;Native Resolution; Native Fps; Cap effect (NOEF, SYNCSCR, SYNCSCR)
'00050000101EB500';Dreamals;wup-n-wrle;-;-;-;usa;yes;'00050000101EB500';720;60;SYNCSCR
'00050000101EB600';Act It Out-A Game of Charades;wup-p-wgqp;-;-;-;eur;yes;'00050000101EB600';720;60;SYNCSCR
'00050000101EB700';Color Symphony 2;wup-p-wcyp;-;-;-;eur;yes;'00050000101EAF00';720;60;SYNCSCR
'00050000101EBB00';F-Zero X;wup-n-nawj;-;-;-;jpn;yes;'00050000101EBB00';720;60;SYNCSCR
'00050000101EBC00';F-Zero X;wup-p-nawp;1;-;-;eur;yes;'00050000101EBB00';720;60;SYNCSCR
'00050000101EBF00';Pikmin 2;wup-n-vbtp;-;-;-;eur;yes;'00050000101EBF00';720;30;SPEED
'00050000101EC100';Pikmin;wup-n-vbue;-;-;-;usa;yes;'00050000101EC100';720;30;SPEED
'00050000101EC200';Pikmin;wup-n-vbup;-;-;-;eur;yes;'00050000101EC100';720;30;SPEED
'00050000101EC500';Act It Out-A Game of Charades;wup-n-wgqe;-;-;-;usa;yes;'00050000101EB600';720;60;SYNCSCR
'00050000101EC600';Defense Dome;wup-p-bdfp;-;-;-;eur;yes;'00050000101A3E00';720;60;SYNCSCR
'00050000101EC700';The Beggar s Ride;wup-p-wtrp;-;-;-;eur;yes;'00050000101EB300';720;60;SYNCSCR
'00050000101ECA00';WarioWare-Smooth Moves;wup-n-vbve;-;-;-;usa;yes;'00050000101ECA00';720;60;SYNCSCR
'00050000101ECB00';WarioWare-Smooth Moves;wup-n-vbvp;-;-;-;eur;yes;'00050000101ECB00';720;60;SYNCSCR
'00050000101ECD00';Resident Evil-The Umbrella Chronicles;wup-n-vbwe;-;-;-;usa;yes;'00050000101ECD00';720;60;SYNCSCR
'00050000101ECF00';Buddy And Me-Dream Edition;wup-n-wyme;-;-;-;usa;yes;'00050000101ECF00';720;60;SYNCSCR
'00050000101ED000';Spaceroads;wup-n-wsse;-;-;-;usa;yes;'00050000101ED000';720;60;SYNCSCR
'00050000101ED200';DK Jungle Beat;wup-n-vbxe;-;-;-;usa;yes;'00050000101ED300';720;60;SYNCSCR
'00050000101ED300';DK Jungle Beat;wup-n-vbxp;-;-;-;eur;yes;'00050000101ED300';720;60;SYNCSCR
'00050000101ED600';SphereZor;wup-n-bzre;-;-;-;usa;yes;'00050000101ED600';720;60;SYNCSCR
'00050000101ED700';Tokyo Mirage Sessions #FE;wup-p-asep;-;-;-;eur;yes;'00050000101ED800';720;30;SYNCSCR
'00050000101ED800';Tokyo Mirage Sessions #FE;wup-u-asee;1;-;16;usa;yes;'00050000101ED800';720;30;SYNCSCR
'00050000101EF400';Demonic Karma Summoner;wup-p-bkse;-;-;-;usa;yes;'00050000101EF400';720;60;SYNCSCR
'00050000101EF500';Emojikara-A Clever Emoji Match Game;wup-n-bmke;-;-;-;usa;yes;'00050000101EF500';720;60;SYNCSCR
'00050000101EFF00';Asdivine Hearts;wup-p-ab8p;-;-;-;eur;yes;'00050000101E7B00';720;60;SYNCSCR
'00050000101F0200';Back to Bed;wup-p-bzde;-;-;-;usa;yes;'00050000101F0200';720;60;SYNCSCR
'00050000101F0300';Star Splash-Shattered Star;wup-p-bz4e;-;-;-;usa;yes;'00050000101F0300';720;60;SYNCSCR
'00050000101F0B00';Quest Of Dungeons;wup-p-bqdp;-;-;-;eur;yes;'00050000101F0B00';720;60;SYNCSCR
'00050000101F0F00';Paranautical Activity;wup-p-aprp;-;-;-;eur;yes;'00050000101BC800';720;60;SYNCSCR
'00050000101F1100';Noitu Love-Devolution;wup-p-aklp;-;-;-;eur;yes;'00050000101EA500';720;60;SYNCSCR
'00050000101F1300';Armikrog;wup-n-br2e;-;-;-;usa;yes;'00050000101F1300';720;60;SYNCSCR
'00050000101F1400';Quest Of Dungeons;wup-n-bqde;-;-;-;usa;yes;'00050000101F0B00';720;60;SYNCSCR
'00050000101F1600';Steel Rivals;wup-p-brcp;-;-;-;eur;yes;'00050000101D9500';720;60;SYNCSCR
'00050000101F2700';Star Sky2;wup-p-by2p;-;-;-;eur;yes;'00050000101F2700';720;60;SYNCSCR
'00050000101F2800';8Bit Hero;wup-n-bh8e;-;-;-;usa;yes;'00050000101F2800';720;60;SYNCSCR
